code_module,code_presentation,id_student,id_site,date,sum_click
CCC,2014J,80868,909240,-18,1
CCC,2014J,80868,909087,-18,2
CCC,2014J,80868,909087,-18,1
CCC,2014J,80868,909231,-18,1
CCC,2014J,80868,909071,-18,18
CCC,2014J,80868,909013,-18,17
CCC,2014J,80868,909283,-18,1
CCC,2014J,80868,909347,-18,1
CCC,2014J,80868,909284,-18,1
CCC,2014J,80868,909087,-18,2
CCC,2014J,80868,909326,-18,1
CCC,2014J,80868,909339,-18,1
CCC,2014J,80868,909071,-18,238
CCC,2014J,80868,909071,-16,48
CCC,2014J,80868,909013,-16,4
CCC,2014J,80868,909234,-16,1
CCC,2014J,80868,909071,-16,4
CCC,2014J,80868,909071,-15,15
CCC,2014J,80868,909232,-15,2
CCC,2014J,80868,909087,-15,2
CCC,2014J,80868,909087,-15,13
CCC,2014J,80868,909234,-15,2
CCC,2014J,80868,909260,-15,2
CCC,2014J,80868,909013,-15,12
CCC,2014J,80868,909283,-15,1
CCC,2014J,80868,909071,-15,2
CCC,2014J,80868,909284,-15,1
CCC,2014J,80868,909231,-15,1
CCC,2014J,80868,909347,-15,1
CCC,2014J,80868,909260,-14,1
CCC,2014J,80868,909013,-14,2
CCC,2014J,80868,909232,-14,1
CCC,2014J,80868,909077,-13,3
CCC,2014J,80868,909013,-13,1
CCC,2014J,80868,909077,-13,19
CCC,2014J,80868,909013,-12,2
CCC,2014J,80868,909013,-11,4
CCC,2014J,80868,909033,-8,1
CCC,2014J,80868,909077,-8,21
CCC,2014J,80868,909077,-8,2
CCC,2014J,80868,909260,-8,1
CCC,2014J,80868,909243,-8,1
CCC,2014J,80868,909232,-8,1
CCC,2014J,80868,909013,-8,4
CCC,2014J,80868,909013,-7,2
CCC,2014J,80868,909077,-6,39
CCC,2014J,80868,909013,-6,2
CCC,2014J,80868,909077,-6,4
CCC,2014J,80868,909093,-5,1
CCC,2014J,80868,909326,-5,1
CCC,2014J,80868,909013,-5,9
CCC,2014J,80868,909232,-5,2
CCC,2014J,80868,909338,-5,2
CCC,2014J,80868,909077,-5,27
CCC,2014J,80868,909077,-5,4
CCC,2014J,80868,909269,-5,1
CCC,2014J,80868,909283,-5,1
CCC,2014J,80868,909231,-5,1
CCC,2014J,80868,909013,-4,3
CCC,2014J,80868,909338,-3,2
CCC,2014J,80868,909013,-3,12
CCC,2014J,80868,909020,-3,3
CCC,2014J,80868,909020,-3,3
CCC,2014J,80868,909077,-3,2
CCC,2014J,80868,909347,-3,1
CCC,2014J,80868,909260,-3,1
CCC,2014J,80868,909240,-3,1
CCC,2014J,80868,909232,-3,2
CCC,2014J,80868,909077,-3,19
CCC,2014J,80868,909087,-2,1
CCC,2014J,80868,909232,-2,1
CCC,2014J,80868,909338,-2,1
CCC,2014J,80868,909013,-2,12
CCC,2014J,80868,909020,-2,7
CCC,2014J,80868,909020,-2,2
